Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-12-23T01:01:00+00:00,FALSE,,51.886221,0.930487,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-23T13:01:00+00:00,FALSE,,51.768151,0.091838,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2020-12-23T13:01:00+00:00,FALSE,,51.619294,0.299223,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-23T20:01:00+00:00,TRUE,,51.808856,0.748894,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-23T20:01:00+00:00,FALSE,,51.519052,0.564468,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Person search,2020-12-23T20:01:00+00:00,FALSE,,51.568634,0.431405,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-23T22:01:00+00:00,TRUE,,51.714905,0.524386,Male,18-24,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T00:01:00+00:00,FALSE,,51.579,0.477527,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T09:01:00+00:00,FALSE,,51.89432,0.926682,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T17:01:00+00:00,FALSE,,51.880605,0.545954,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Vehicle search,2020-12-24T17:01:00+00:00,FALSE,,51.600231,0.51942,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,TRUE,
Person search,2020-12-24T17:01:00+00:00,FALSE,,51.612415,-4.997858,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T17:01:00+00:00,FALSE,,51.600231,0.51942,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T18:01:00+00:00,FALSE,,51.5245,0.602936,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-12-24T18:01:00+00:00,FALSE,,51.612635,0.520989,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T18:01:00+00:00,FALSE,,51.613134,0.518719,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T22:01:00+00:00,FALSE,,51.567949,0.445755,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Vehicle search,2020-12-24T22:01:00+00:00,FALSE,,51.596992,0.508194,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-24T23:01:00+00:00,FALSE,,51.60117,0.512541,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-24T23:01:00+00:00,FALSE,,51.567949,0.445755,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2020-12-24T23:01:00+00:00,FALSE,,51.567949,0.445755,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-25T02:01:00+00:00,FALSE,,51.596992,0.508194,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-12-25T03:01:00+00:00,FALSE,,51.579754,0.414201,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Vehicle search,2020-12-25T04:01:00+00:00,FALSE,,51.568579,0.501175,,,,,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,
Person search,2020-12-25T04:01:00+00:00,FALSE,,51.568579,0.501175,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Vehicle search,2020-12-25T04:01:00+00:00,FALSE,,51.582383,0.497415,,,,,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,
Person search,2020-12-25T15:01:00+00:00,FALSE,,51.56497,0.486893,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Khat or Cannabis warning,FALSE,FALSE
Person search,2020-12-25T15:01:00+00:00,FALSE,,51.56497,0.486893,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Khat or Cannabis warning,FALSE,FALSE
Person and Vehicle search,2020-12-25T16:01:00+00:00,FALSE,,51.61254,0.32845,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-25T21:01:00+00:00,FALSE,,51.584234,0.357952,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person and Vehicle search,2020-12-25T21:01:00+00:00,FALSE,,51.584234,0.357952,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person and Vehicle search,2020-12-25T21:01:00+00:00,FALSE,,51.584234,0.357952,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-25T21:01:00+00:00,FALSE,,51.584234,0.357952,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person and Vehicle search,2020-12-25T21:01:00+00:00,FALSE,,51.584234,0.357952,Male,18-24,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person and Vehicle search,2020-12-25T23:01:00+00:00,TRUE,,51.787243,-0.01504,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-12-25T23:01:00+00:00,FALSE,,51.570982,0.516633,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2020-12-25T23:01:00+00:00,FALSE,,51.570982,0.516633,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Vehicle search,2020-12-26T04:01:00+00:00,FALSE,,51.585496,0.500271,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,
Person search,2020-12-26T14:01:00+00:00,FALSE,,51.48984,0.281698,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,TRUE,FALSE
Person search,2020-12-26T14:01:00+00:00,FALSE,,51.48984,0.281698,Male,,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-26T15:01:00+00:00,FALSE,,51.870812,0.199564,Male,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-26T16:01:00+00:00,FALSE,,51.870812,0.199564,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-26T17:01:00+00:00,FALSE,,51.759639,0.504955,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2020-12-27T03:01:00+00:00,FALSE,,51.619779,0.297875,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-12-27T04:01:00+00:00,FALSE,,51.513448,0.283944,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-27T04:01:00+00:00,FALSE,,51.513448,0.283944,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-12-27T13:01:00+00:00,TRUE,,51.578839,0.423217,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Vehicle search,2020-12-27T15:01:00+00:00,FALSE,,51.59065,0.520002,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,TRUE,
Person search,2020-12-27T16:01:00+00:00,FALSE,,51.506079,0.280895,Male,17-Oct,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-28T00:01:00+00:00,FALSE,,51.763706,0.104603,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-28T01:01:00+00:00,FALSE,,,,Female,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person search,2020-12-28T01:01:00+00:00,FALSE,,51.74638,0.093859,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-28T04:01:00+00:00,FALSE,,51.607505,0.294584,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-28T04:01:00+00:00,FALSE,,51.607505,0.294584,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-28T12:01:00+00:00,TRUE,,51.887271,0.896444,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2020-12-28T12:01:00+00:00,TRUE,,51.887271,0.896444,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2020-12-28T15:01:00+00:00,FALSE,,51.886362,0.895004,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person search,2020-12-29T10:01:00+00:00,FALSE,,51.768833,0.090927,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-29T12:01:00+00:00,FALSE,,51.767783,0.095357,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2020-12-29T15:01:00+00:00,FALSE,,51.852153,1.035045,Male,17-Oct,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-12-29T16:01:00+00:00,FALSE,,51.568245,0.46342,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-29T16:01:00+00:00,FALSE,,51.724071,0.48467,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-29T18:01:00+00:00,TRUE,,51.727974,0.46587,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,TRUE,FALSE
Person search,2020-12-29T19:01:00+00:00,FALSE,,51.749158,0.500956,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-12-29T20:01:00+00:00,FALSE,,52.014018,0.253188,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-29T21:01:00+00:00,FALSE,,51.877302,0.927131,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Community resolution,TRUE,FALSE
Person search,2020-12-29T21:01:00+00:00,FALSE,,51.877302,0.927131,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Community resolution,TRUE,
Person search,2020-12-29T21:01:00+00:00,FALSE,,51.708164,0.242847,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-12-29T21:01:00+00:00,FALSE,,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,
Person search,2020-12-29T23:01:00+00:00,FALSE,,51.947498,1.04889,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-29T23:01:00+00:00,FALSE,,51.947498,1.04889,Male,17-Oct,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-30T02:01:00+00:00,FALSE,,51.892464,0.898856,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-30T14:01:00+00:00,FALSE,,51.544444,0.69115,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,TRUE,FALSE
Person search,2020-12-30T20:01:00+00:00,FALSE,,,,Female,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-12-30T20:01:00+00:00,FALSE,,51.574399,0.502808,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-30T20:01:00+00:00,FALSE,,51.558669,0.60444,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Person search,2020-12-30T21:01:00+00:00,FALSE,,51.74388,0.486467,Male,18-24,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-30T21:01:00+00:00,FALSE,,51.754053,0.486403,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-31T00:01:00+00:00,FALSE,,51.550763,0.713176,Male,17-Oct,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,FALSE,FALSE
Person search,2020-12-31T01:01:00+00:00,FALSE,,51.571336,0.472492,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-12-31T01:01:00+00:00,FALSE,,51.749083,0.496866,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-12-31T13:01:00+00:00,FALSE,,51.570967,0.452801,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2020-12-31T14:01:00+00:00,FALSE,,51.937267,1.276851,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-31T14:01:00+00:00,FALSE,,51.583317,0.499978,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-31T14:01:00+00:00,FALSE,,51.937267,1.276851,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-12-31T14:01:00+00:00,FALSE,,51.583317,0.499978,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2020-12-31T17:01:00+00:00,FALSE,,51.751535,0.468921,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-31T21:01:00+00:00,FALSE,,51.86241,0.9111,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-12-31T21:01:00+00:00,FALSE,,51.774181,0.083956,Male,17-Oct,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-12-31T21:01:00+00:00,FALSE,,51.86241,0.9111,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2020-12-31T23:01:00+00:00,FALSE,,51.86241,0.9111,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-12-01T01:15:00+00:00,FALSE,,51.237631,-0.186875,Female,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T01:15:00+00:00,FALSE,,51.237631,-0.186875,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T01:15:00+00:00,FALSE,,51.238717,-0.187921,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T01:20:00+00:00,FALSE,,51.244804,-0.168812,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Black,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T02:30:00+00:00,FALSE,,51.307811,-0.414355,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,FALSE,
Person search,2020-12-01T11:15:00+00:00,FALSE,,51.143922,-0.474645,Male,over 34,Other ethnic group - Not stated,White,,Anything to threaten or harm anyone,A no further action disposal,FALSE,
Person search,2020-12-01T12:50:00+00:00,FALSE,,51.138026,-0.530387,Male,18-24,Other ethnic group - Not stated,White,,Article for use in theft,Summons / charged by post,FALSE,
Person search,2020-12-01T15:35:00+00:00,FALSE,,51.246659,-0.569782,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,,Anything to threaten or harm anyone,Arrest,TRUE,
Person search,2020-12-01T15:50:00+00:00,FALSE,,51.226181,-0.172286,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,Arrest,FALSE,
Person search,2020-12-01T16:30:00+00:00,FALSE,,51.368891,-0.396759,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,Arrest,FALSE,
Person search,2020-12-01T17:00:00+00:00,TRUE,,51.372782,-0.393247,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,FALSE,
Person search,2020-12-01T18:00:00+00:00,TRUE,,51.369682,-0.398053,Male,25-34,Other ethnic group - Not stated,White,,Offensive weapons,A no further action disposal,TRUE,
Person search,2020-12-01T18:00:00+00:00,TRUE,,51.371978,-0.391652,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,FALSE,
Person search,2020-12-01T18:10:00+00:00,FALSE,,51.396995,-0.403539,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,TRUE,
Person search,2020-12-01T18:40:00+00:00,TRUE,,51.379704,-0.389829,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,A no further action disposal,FALSE,
Person search,2020-12-01T18:55:00+00:00,FALSE,,51.260965,-0.582266,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,Arrest,TRUE,
Person search,2020-12-01T18:55:00+00:00,TRUE,,51.388762,-0.413757,Male,over 34,Other ethnic group - Not stated,Black,,Controlled drugs,Community resolution,TRUE,
Person search,2020-12-01T18:55:00+00:00,FALSE,,51.260965,-0.582266,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,Arrest,TRUE,
Person search,2020-12-01T19:00:00+00:00,FALSE,,51.367296,-0.39318,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,TRUE,
Person search,2020-12-01T19:10:00+00:00,TRUE,,51.372782,-0.393247,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,TRUE,
Person search,2020-12-01T20:01:00+00:00,FALSE,,51.375535,-0.409818,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,FALSE,
Person search,2020-12-01T20:10:00+00:00,FALSE,,51.400521,-0.36381,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,TRUE,
Person search,2020-12-01T20:43:00+00:00,FALSE,,51.236256,-0.18637,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Arrest,TRUE,
Person search,2020-12-01T20:43:00+00:00,FALSE,,51.236008,-0.187225,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T21:20:00+00:00,FALSE,,51.371809,-0.451913,Female,25-34,Other ethnic group - Not stated,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T21:40:00+00:00,FALSE,,51.371809,-0.451913,Male,25-34,White - Any other White background,White,,Controlled drugs,Arrest,FALSE,
Person search,2020-12-01T22:20:00+00:00,FALSE,,51.420338,-0.585481,Male,25-34,Asian/Asian British - Any other Asian background,Asian,,Controlled drugs,Community resolution,TRUE,
Person search,2020-12-01T22:30:00+00:00,FALSE,,51.364821,-0.424195,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T22:55:00+00:00,FALSE,,51.330759,-0.438411,Male,25-34,Asian/Asian British - Any other Asian background,Asian,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-01T22:59:00+00:00,FALSE,,51.330759,-0.438411,Male,25-34,Asian/Asian British - Bangladeshi,Asian,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-02T00:25:00+00:00,FALSE,,51.250684,-0.058224,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,A no further action disposal,FALSE,
Person search,2020-12-02T01:25:00+00:00,FALSE,,51.34061,-0.268515,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-02T01:34:00+00:00,FALSE,,51.34033,-0.268453,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-02T01:34:00+00:00,FALSE,,51.34033,-0.268453,Male,17-Oct,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,A no further action disposal,FALSE,
Person search,2020-12-02T14:40:00+00:00,FALSE,,51.432085,-0.449229,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Offensive weapons,Arrest,FALSE,
Person search,2020-12-02T15:55:00+00:00,FALSE,,51.37009,-0.491105,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,TRUE,
Person search,2020-12-02T15:55:00+00:00,FALSE,,51.37009,-0.491105,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,TRUE,
Person search,2020-12-02T17:12:00+00:00,FALSE,,51.45947,-0.480373,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,FALSE,
Person search,2020-12-02T17:15:00+00:00,TRUE,,51.445279,-0.463705,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Anything to threaten or harm anyone,A no further action disposal,FALSE,
Person search,2020-12-02T17:40:00+00:00,FALSE,,51.293127,-0.489886,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Article for use in theft,Summons / charged by post,FALSE,
