Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-07-13T04:42:33+00:00,,,51.508587,-0.078924,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2020-07-13T04:42:33+00:00,,,51.508587,-0.078924,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2020-07-13T08:17:25+00:00,,,,,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,TRUE,FALSE
Person and Vehicle search,2020-07-13T08:17:25+00:00,,,,,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,TRUE,FALSE
Person search,2020-07-13T09:36:33+00:00,,,51.514151,-0.074958,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T09:36:33+00:00,,,51.514151,-0.074958,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-13T10:50:11+00:00,,,51.516508,-0.079398,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,TRUE,FALSE
Person search,2020-07-13T10:50:11+00:00,,,51.516508,-0.079398,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,TRUE,FALSE
Person search,2020-07-14T01:03:17+00:00,,,51.51265,-0.101452,Male,25-34,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2020-07-14T01:03:17+00:00,,,51.51265,-0.101452,Male,25-34,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2020-07-14T02:25:20+00:00,,,51.513952,-0.085833,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person search,2020-07-14T02:25:20+00:00,,,51.513952,-0.085833,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Person search,2020-07-14T03:59:35+00:00,,,51.513129,-0.094933,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T03:59:35+00:00,,,51.513129,-0.094933,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T04:09:49+00:00,,,,,Female,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-07-14T04:09:49+00:00,,,,,Female,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2020-07-14T04:18:08+00:00,,,51.511916,-0.076853,Male,25-34,Mixed/Multiple ethnic groups - White and Asian,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
